[T=935000] PC=00000084 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=945000] PC=00000088 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=955000] PC=0000008c INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=965000] PC=00000090 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=975000] PC=00000094 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=985000] PC=00000094 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=995000] PC=00000094 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1005000] PC=00000094 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1015000] PC=00000094 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1025000] PC=00000094 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1035000] PC=00000098 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1045000] PC=0000009c INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1055000] PC=000000a0 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1065000] PC=000000a4 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
